all_between,all_within
-0.022388821,0.171331897
0.020448178,0.130354911
-0.030488495,0.080692597
-0.039878622,0.121928327
-0.047216203,0.084032089
-0.011841225,0.102970719
-0.0422468,0.091449402
-0.030594718,0.13340424
-0.090912439,0.074681237
-0.018482938,0.085407883
0.003638765,0.091957219
-0.053886171,0.073167861
-0.019036213,0.174288437
-0.125453189,0.219567582
-0.009516883,0.139387682
-0.055819821,0.184649184
-0.089884259,0.169677973
-0.104324505,0.1580192
-0.08399944,0.13415578
-0.000538597,0.193194851
-0.085644051,0.146190464
-0.058753856,0.135818481
-0.038862001,0.150754079
0.050893147,0.142147288
-0.051338807,0.181176767
-0.087939195,0.197213843
-0.032630332,0.194169089
-0.067588925,0.19453831
-0.059232805,0.172460333
-0.028388141,0.151347458
-0.001705123,0.168300927
-0.042300045,0.205796853
0.004954066,0.157599255
-0.022499762,0.155518994
-0.009251165,0.166886955
-0.02475303,0.165423825
-0.057254054,0.175526366
0.026665425,0.189096227
-0.060155015,0.143398091
-0.074483275,0.225982592
-0.070185825,0.168423474
-0.037627049,0.151418522
-0.080954522,0.154714525
-0.011389231,0.195275232
-0.132334992,0.138304651
-0.044386744,0.135792017
-0.019078767,0.153710976
-0.076274417,0.129287407
-0.011736175,0.221881792
-0.107633725,0.220612928
0.014460161,0.167143196
-0.047340639,0.241184816
-0.067572095,0.256120026
-0.10801284,0.187743202
-0.086326078,0.180567309
-0.004977836,0.217935905
-0.056345757,0.165066272
-0.050024483,0.156320468
-0.026974889,0.181723565
0.057602081,0.162270054
-0.05813041,0.143577829
-0.105286814,0.161623448
-0.019533182,0.096251801
-0.056020871,0.151573047
-0.053305544,0.133090317
-0.038043298,0.171592176
-0.003766579,0.106559291
-0.032488536,0.16395843
-0.046733793,0.103749976
-0.043865334,0.137907997
-0.043369059,0.106862359
-0.042814363,0.090285584
-0.065877415,0.151534528
0.029325936,0.157758728
-0.073972911,0.129833072
-0.074778572,0.166411936
-0.076938793,0.132296667
-0.049265523,0.118231282
-0.094249681,0.185667172
-0.027908465,0.17065616
-0.140603527,0.11657501
-0.054340333,0.115795009
-0.012143753,0.138546512
-0.066778682,0.113566227
-0.014031693,0.168576613
-0.127773762,0.191509485
0.010570509,0.148727536
-0.059269216,0.184527382
-0.077612944,0.165087461
-0.120318644,0.156198516
-0.104317084,0.144191727
-0.011365755,0.236658484
-0.070696488,0.15295203
-0.050811272,0.149650395
-0.029239029,0.158709884
0.072793797,0.134507507
-0.060309961,0.135229692
-0.10279204,0.175370246
-0.019014426,0.134160519
-0.072808541,0.161140218
-0.045499746,0.133291379
-0.034907077,0.133195519
0.004535701,0.133227408
-0.037654776,0.186600164
-0.036976609,0.162125379
-0.026643567,0.136790901
-0.028430527,0.135241643
-0.045682285,0.126663685
-0.060977891,0.13148053
0.018119847,0.153158426
-0.064528324,0.119336829
-0.078353308,0.150462642
-0.079389736,0.121798322
-0.041281182,0.151992202
-0.074636348,0.120185427
-0.021461694,0.171452641
-0.132731631,0.122494042
-0.050530531,0.179790035
-0.024637276,0.114466906
-0.058156017,0.101230182
-0.006033898,0.138108879
-0.103309609,0.157056972
0.022783071,0.112325251
-0.039425328,0.147476897
-0.065841265,0.115061775
-0.111075647,0.102602333
-0.078321375,0.121264674
0.001041571,0.163760617
-0.062655695,0.110981919
-0.036778491,0.103769571
-0.011789943,0.14884758
0.056836754,0.100799628
-0.088074066,0.206244081
-0.132709146,0.231573492
-0.045564521,0.205452204
-0.080247186,0.235238656
-0.080245256,0.212384522
-0.070675008,0.188150227
-0.020348743,0.198168963
-0.055086657,0.232843786
-0.049936105,0.198682144
-0.052825354,0.176862121
-0.057376467,0.184789792
-0.0677251,0.290895969
-0.057713322,0.177274406
0.045741607,0.165536284
-0.053065516,0.135985002
-0.073621973,0.123979881
-0.06427002,0.117884211
-0.045265444,0.158958241
-0.070041478,0.126656368
0.02180586,0.112976588
-0.106107384,0.12704581
-0.033062484,0.158439919
-0.02304958,0.15299131
-0.054330375,0.03978543
0.008217399,0.130512014
-0.063786313,0.287714601
0.064841084,0.135387257
-0.02901618,0.118911348
-0.022109,0.109766342
-0.086733356,0.139493689
-0.054336738,0.108061902
0.020040195,0.161262304
-0.006880708,0.131940603
-0.004164333,0.158015296
-0.007931201,0.173577994
0.036646478,0.000471758
-0.072704956,0.148296684
-0.127231568,0.174830347
-0.023130329,0.218204662
-0.049101878,0.149844036
-0.065093897,0.142098263
-0.049324628,0.171404585
-0.009983001,0.154230654
-0.020964948,0.141255811
-0.06997022,0.155092448
-0.031194238,0.181580409
-0.065483734,0.178583831
-0.059386209,0.035774086
-0.043115914,0.127286538
0.03508763,0.173076198
-0.035068963,0.157278225
-0.056133784,0.178505436
-0.06139617,0.122524783
-0.015998526,0.16532518
-0.056194052,0.131374553
-0.000930746,0.122881919
-0.102258854,0.135005683
-0.02680758,0.154045954
-0.009119976,0.173314348
-0.065834641,0.04046046
-0.015330339,0.175260291
-0.104691103,0.19943963
0.032118302,0.191300154
-0.0338379,0.171634316
-0.065799884,0.213729709
-0.110026166,0.185093582
-0.067551784,0.163767323
0.009450286,0.158299565
-0.055704243,0.174258947
-0.031146672,0.191072464
-0.018807603,0.221610263
0.04554585,0.055171683
-0.066003613,0.108746551
-0.116592325,0.155716255
-0.039688781,0.140850693
-0.070029922,0.106576167
-0.064344153,0.100968398
-0.04890551,0.195773885
-0.024434052,0.10334634
-0.042891987,0.120843343
-0.04381587,0.100745648
-0.034660738,0.14184837
-0.046607584,0.152560979
-0.033226158,0.030885449
-0.06503889,0.12282376
0.026199551,0.146789595
-0.079744965,0.15397729
-0.080086336,0.115582384
-0.095282525,0.110825524
-0.048807394,0.146420047
-0.092468433,0.183436498
-0.044429161,0.127665594
-0.130321637,0.136893839
-0.062128045,0.151611179
-0.031444065,0.151181147
-0.066435635,0.058649976
-0.01136717,0.086050048
-0.13447614,0.183428407
0.01434837,0.118443422
-0.060466439,0.089496136
-0.087596744,0.095815584
-0.129891679,0.099049971
-0.102336884,0.096467741
-0.01314844,0.237387687
-0.086111501,0.114757732
-0.044123009,0.151834697
-0.036877196,0.128039256
0.082255833,0.01375212
-0.083060265,0.139990807
-0.117340609,0.170667619
-0.034171931,0.148948625
-0.084228247,0.134540305
-0.064232141,0.133978546
-0.051137224,0.158510342
-0.016852239,0.139603943
-0.06555564,0.140834853
-0.039457716,0.205553636
-0.035485338,0.168431759
-0.041266955,0.150452033
-0.059447903,0.028803183
-0.052728936,0.133241951
0.031521186,0.170329884
-0.054951306,0.14516066
-0.063988306,0.114100948
-0.069579959,0.111061402
-0.034154579,0.146490306
-0.079527967,0.117281616
-0.005717398,0.152205825
-0.122501723,0.134941563
-0.0358111,0.201360181
-0.017908493,0.147109494
-0.077038914,0.034249965
-0.004013397,0.129604965
-0.104094379,0.181709081
0.014669764,0.150263518
-0.041256677,0.138749197
-0.063111067,0.127685055
-0.107465833,0.156893581
-0.082108676,0.128516838
-0.007819923,0.117921911
-0.064124376,0.118449286
-0.040778767,0.152948201
-0.020851536,0.217684135
0.060321704,0.035381075
-0.064819179,0.137434423
-0.099883653,0.111357301
-0.020563072,0.115570255
-0.072586112,0.105208293
-0.052185833,0.083779171
-0.042210624,0.125710383
-0.00154245,0.131461874
-0.047450989,0.115266964
-0.033783,0.073677748
-0.04621394,0.158610418
-0.047874685,0.128674492
-0.042093314,0.311931431
-0.048329316,0.297835648
0.02233777,0.057564817
-0.059970982,0.110402323
-0.063057616,0.185353369
-0.064115658,0.125146791
-0.036646355,0.10793408
-0.077113271,0.130511805
-0.019422015,0.157510832
-0.124860331,0.075139254
-0.041219503,0.152338803
-0.018061629,0.107023753
-0.061908074,0.137951791
-0.01198153,0.166679114
-0.094769679,0.285609484
0.00770829,0.254167646
-0.043782886,0.291690797
-0.064589553,0.217618138
-0.096559793,0.218613669
-0.074823067,0.272545636
-0.005874506,0.253845602
-0.068251036,0.207880542
-0.05253667,0.233967707
-0.025825473,0.203821287
0.045636419,-0.074201822
-0.079733104,0.117288068
-0.097936377,0.129192084
-0.021937465,0.294005215
-0.088012755,0.199124575
-0.06051407,0.142206103
-0.038889103,0.139951453
-0.010855676,0.17242372
-0.064207725,0.218818232
-0.03843765,0.148663446
-0.058300503,0.189835578
-0.048545789,0.175101072
-0.038756799,-0.025460692
-0.041532561,0.167453662
0.033185981,0.155168697
-0.045670956,0.209963679
-0.052035186,0.306148142
-0.065987535,0.15200752
-0.019698489,0.154143408
-0.062273197,0.216592774
-0.015294568,0.213293448
-0.113671407,0.142266154
-0.04085714,0.219165176
-0.009488411,0.207723543
-0.066008151,-0.000816522
-0.026417667,0.190227285
-0.118199132,0.186105654
0.012905669,0.234565035
-0.050390366,0.242670432
-0.086650223,0.25507769
-0.123287268,0.194421589
-0.08446987,0.215248048
-0.015059215,0.248505116
-0.079883084,0.192086264
-0.055613652,0.218293384
-0.033540621,0.160775557
0.050245423,-0.018867211
-0.076989315,0.174068734
-0.116282456,0.182361081
-0.040488187,0.218106344
-0.085201338,0.245701641
