null_values_mdd,actual_value_mdd,null_values_aud,actual_value_aud,null_values_hc01,actual_value_hc01,null_values_hc02,actual_value_hc02
0.04134129,0.02151715,0.102952235,0.025575032,0.064016146,0.009526965,0.11290695,0.000654774
0.069829042,,0.088380536,,0.115698933,,0.187049103,
0.101613252,,0.108547605,,0.210120349,,0.111733655,
0.037322572,,0.068830557,,0.095162428,,0.091689754,
0.048616474,,0.055219561,,0.056348385,,0.125428664,
0.076859426,,0.088660392,,0.073588211,,0.096371186,
0.083223305,,0.095971141,,0.101436187,,0.09137306,
0.082448411,,0.128590184,,0.086067384,,0.082439636,
0.078665428,,0.135190337,,0.037214127,,0.136393901,
0.040176833,,0.051202105,,0.116593253,,0.110145039,
0.067417268,,0.111252756,,0.071216381,,0.098031762,
0.123111309,,0.156972793,,0.187550233,,0.12809169,
0.094809261,,0.11609932,,0.067995399,,0.170130275,
0.097144227,,0.187325316,,0.073135481,,0.141971728,
0.096258064,,0.082808638,,0.111919992,,0.123186563,
0.073589387,,0.067677627,,0.127386586,,0.093993554,
0.057861245,,0.079183318,,0.133170071,,0.082928626,
0.065433746,,0.122515117,,0.07634125,,0.081808147,
0.058274143,,0.134717375,,0.08446096,,0.04382136,
0.084719044,,0.105878648,,0.055884257,,0.162070934,
0.049835549,,0.104769611,,0.015262033,,0.076858068,
0.059586831,,0.089567285,,0.052974038,,0.15090547,
0.049673254,,0.102130726,,0.08240579,,0.113099021,
0.066691459,,0.123893626,,0.087278406,,0.08225679,
0.04483562,,0.076112786,,0.087717937,,0.084289735,
0.083621658,,0.119596432,,0.108666221,,0.173277226,
0.075546297,,0.10173344,,0.087807891,,0.09667438,
0.038887354,,0.092318745,,0.014911834,,0.059792231,
0.051465331,,0.109555158,,0.115135604,,0.082658552,
0.056408081,,0.097491631,,0.108706237,,0.15783239,
0.077881468,,0.134424674,,0.019922435,,0.072068484,
0.059600331,,0.078131184,,0.047988378,,0.120316144,
0.125811431,,0.192471959,,0.103753612,,0.159346112,
0.102741613,,0.183397021,,0.05594654,,0.071708848,
0.05534964,,0.102718598,,0.053183863,,0.088859038,
0.081846217,,0.088482442,,0.049511167,,0.130730798,
0.120670899,,0.157749454,,0.130694,,0.118933881,
0.040841847,,0.086492172,,0.046972601,,0.061755397,
0.060606897,,0.092895914,,0.022041143,,0.114216135,
0.144239144,,0.142222365,,0.113910922,,0.119819195,
0.041933769,,0.036494581,,0.071075216,,0.090560924,
0.065626337,,0.074299514,,0.073814889,,0.079276382,
0.108333765,,0.182917725,,0.067417902,,0.112822076,
0.082197101,,0.0838216,,0.031823546,,0.125942542,
0.046089765,,0.033518073,,0.091202694,,0.117629917,
0.081583353,,0.146274398,,0.074510105,,0.138109367,
0.04095101,,0.074221843,,0.058630085,,0.049844895,
0.07189598,,0.101834895,,0.070870355,,0.114738966,
0.054743812,,0.105609153,,0.018123005,,0.097291148,
0.13494742,,0.202642283,,0.064505445,,0.183080837,
0.092568907,,0.068622199,,0.14991799,,0.152275842,
0.097502269,,0.148366239,,0.066833072,,0.127720133,
0.094785328,,0.102970633,,0.075020409,,0.127278235,
0.113379596,,0.12823561,,0.055702083,,0.120532163,
0.098951027,,0.120905418,,0.077676855,,0.125262793,
0.081792252,,0.083418058,,0.10134984,,0.086393753,
0.092243614,,0.113241276,,0.097749395,,0.102061159,
0.033126401,,0.063392704,,0.041181007,,0.04710649,
0.10138173,,0.159520891,,0.058104929,,0.120617038,
0.050717649,,0.044305583,,0.091576204,,0.113801873,
0.057652747,,0.077871831,,0.081739328,,0.098324891,
0.02649134,,0.053423625,,0.027337668,,0.057703202,
0.060194914,,0.07501154,,0.05287999,,0.127839911,
0.073117771,,0.142975169,,0.081101058,,0.092749088,
0.096085501,,0.147000253,,0.055435657,,0.169484148,
0.263788233,,0.310451138,,0.209657388,,0.191515996,
0.044996708,,0.110373948,,0.041871005,,0.052180953,
0.067820436,,0.100312084,,0.082612296,,0.077645617,
0.076982113,,0.101961859,,0.077046063,,0.177107686,
0.058258137,,0.079764858,,0.132701895,,0.095422304,
0.093059194,,0.171742126,,0.168088478,,0.141098524,
0.086134039,,0.107802331,,0.096271622,,0.080295821,
0.173214495,,0.183157886,,0.116968677,,0.288965784,
0.067676563,,0.10381067,,0.062472654,,0.062128105,
0.15707934,,0.17444555,,0.163188072,,0.138161356,
0.142555108,,0.131255202,,0.164106604,,0.138285737,
0.092316546,,0.15236846,,0.071657257,,0.075757828,
0.086003241,,0.165319693,,0.051399804,,0.085299706,
0.023657176,,0.07420745,,0.063326067,,0.059104891,
0.077779431,,0.122786356,,0.058105565,,0.083447566,
0.055593378,,0.081253386,,0.056701886,,0.102763303,
0.06990807,,0.141923948,,0.094659854,,0.139677364,
0.158565022,,0.129923502,,0.150132525,,0.223281538,
0.092315619,,0.08972667,,0.107408833,,0.142193196,
0.039942497,,0.085523266,,0.041999015,,0.08073556,
0.063122007,,0.162672402,,0.064713679,,0.087764343,
0.131559147,,0.198338237,,0.090714346,,0.178144221,
0.07660117,,0.197099319,,0.095184668,,0.122436996,
0.063104097,,0.087345072,,0.074429878,,0.125291748,
0.124327458,,0.162764283,,0.115892934,,0.057512651,
0.061344517,,0.098337988,,0.074878519,,0.106375057,
0.065520925,,0.13667063,,0.103841911,,0.053626866,
0.063639295,,0.100574922,,0.054388734,,0.068203493,
0.053600151,,0.092634533,,0.070262343,,0.117149642,
0.034851248,,0.070607751,,0.082053824,,0.028510758,
0.066108146,,0.088980008,,0.107017801,,0.051931763,
0.033088061,,0.083614645,,0.0670167,,0.040800893,
0.048619187,,0.111889139,,0.026750884,,0.063196201,
0.077060763,,0.135764037,,0.055250719,,0.060964236,
0.063580552,,0.120074785,,0.127400142,,0.084200279,
0.064334612,,0.074238645,,0.034639509,,0.107823413,
0.096065695,,0.111566137,,0.166521681,,0.162035694,
0.097679673,,0.124601882,,0.060190702,,0.107441706,
0.052960354,,0.123763451,,0.057346991,,0.113815068,
0.058121547,,0.070957752,,0.074674463,,0.107032222,
0.068688876,,0.095769828,,0.109127611,,0.153784478,
0.106555406,,0.154926165,,0.053705712,,0.10244998,
0.045073232,,0.147270315,,0.062361149,,0.032900824,
0.077756529,,0.140539153,,0.071072944,,0.133039934,
0.111346563,,0.18020596,,0.113579283,,0.110235625,
0.083705055,,0.117927582,,0.092387704,,0.131197414,
0.098835621,,0.069801506,,0.174009866,,0.180052251,
0.030331566,,0.086835668,,0.024278399,,0.076138048,
0.033284847,,0.034895179,,0.085957267,,0.080204955,
0.102760942,,0.050540108,,0.186120682,,0.136414678,
0.045214574,,0.109103872,,0.135881621,,0.13238203,
0.077506251,,0.097017134,,0.115567149,,0.127629525,
0.087640821,,0.147423231,,0.074081458,,0.097143197,
0.141698104,,0.193156069,,0.089348631,,0.145391166,
0.07203556,,0.124087223,,0.080965562,,0.128830205,
0.12231583,,0.155420023,,0.108154554,,0.145557329,
0.04182027,,0.093160205,,0.046008826,,0.055373373,
0.059857602,,0.071250644,,0.076429452,,0.082361247,
0.072701517,,0.108149155,,0.114349684,,0.088991435,
0.102071365,,0.147633587,,0.098020747,,0.059028515,
0.041063893,,0.075987048,,0.056327154,,0.100156775,
